Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
2194,Galaxy Hospital Blood Bank,Tamil Nadu,Tirunelveli,Tirunelveli,92947,8961,1592,846,1556,1261,1214,1230,115,1147,1019,"North Bye Pass Road, Vannerpettai, Tirunelveli
",286408,9317019399,"labbalamurugan@gmail,com",Charity,NO,24x7
2195,Sardar Raja Mission Hospital Blood Bank,Tamil Nadu,Tirunelveli,Tirunelveli,10513,10204,1972,1048,1488,1826,473,1638,527,1232,476,"Tirurajapuram, Kavalkinaru Junction",216950,7147182851,chairman@rajasdentalcollege.com,Government,NO,24x7
2196,M/S Annai Blood Bank,Tamil Nadu,Tirunelveli,Tirunelveli,187550,9290,1019,886,1686,210,344,1420,1869,1856,3869,"M/S Annai Blood Bank (Run by Annai Medical Trust), No. 67 Pappu Sahib Complex,Melamuthuraman koil Street, Tenkasi",266654,8820444816,,Government,YES,24x7
2197,Government Hospital Blood Bank,Tamil Nadu,Tiruppur,Dharapuram,130566,11432,1658,1497,1741,1979,636,1663,456,1802,1869,"Government  Hospital, Park Road, Near Taluk Office, Dharapuram",312359,8773657668,cmodharapuram@gmail.com,Government,YES,24x7
2198,Revathy Medical Centre Blood Bank,Tamil Nadu,Tiruppur,Thiruppur,182858,8184,300,136,405,1930,1899,771,1872,871,3862,"No 10, CKP Layout 4th Floor, Valayankadu Main Road, Kumar Nagar (West) Avinashi Road, Tiruppur",412655,7024106839,revathimedicalcenter@gmail.com,Charity,YES,12x7
2199,DSK Hospital Blood Bank,Tamil Nadu,Tiruppur,Tiruppur,69268,7564,1777,83,348,854,1933,801,1682,86,432,"9 Kathir Nagar, Kangayam Main Road, Kathir Layout Road, Sathyamurthy Nagar, Tiruppur",369975,9407823674,,Charity,NO,24x7
2200,Sri Kumaran Hospital Blood Bank,Tamil Nadu,Tiruppur,Tiruppur,184928,9708,1723,1939,1706,752,1046,625,1260,657,598,"No. 774 A-DPN Road, Near Bus Stand",508239,9154982131,,Private,YES,24x7
2201,Government Head Quarters Hospital Blood Bank,Tamil Nadu,Tiruppur,Tiruppur,180737,8860,1865,1404,1523,785,1191,583,569,940,1422,"Government Head Quarters Hospital, Dharapuram Road, Tiruppur ",478185,6317202988,bloodbankghqhtcr@gmail.com,Government,YES,24x7
2202,Government Hospital Blood Bank,Tamil Nadu,Tiruppur,Udumalpet,103929,8803,614,1284,162,1569,1899,1371,1007,897,3393,"Government Hospital, VOC Street, Udumalpet",431681,8404324138,bbghudumalpet@gmail.com,Government,NO,24x7
2203,Udumalpet Indian Medical Association Rotary Blood Bank,Tamil Nadu,Tiruppur,Udumalpet,242427,6819,953,756,762,213,562,1601,1767,205,3784,"UKP-IMA Building, K.P.N. Nagar Gandhinagar Post, Udumalpet",379913,9637043142,,Private,NO,24x7
2204,Government Medical College Hospital Blood Bank,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,77041,7823,645,1882,535,1429,1680,149,331,1172,533,"Government Thiruvannamalai Medical College Hospital, Thiruvannamalai",268900,7875754451,bloodbank90@gmail.com,Charity,YES,24x7
2205,ST Thomas Hospital Blood Bank and Leprosy Centre,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,62558,9213,1822,865,1839,1004,1144,1448,747,344,3396,"Chettupattu, Polur Road, Tiruvannamalai",438577,9275943076,sthlcchetpet@hotmail.com,Government,YES,12x7
2206,Government Medical College Hospital Blood Bank,Tamil Nadu,Vellore,Adukamparai,130426,10170,1708,882,1226,725,439,1904,1828,1458,230,"Arni Road, Arani Road, Opposite Staff Quarters, Adukkamparai, Vellore",275174,9046223869,baskardcp65@gmail.com,Charity,YES,24x7
2207,Government Hospital Blood Bank,Tamil Nadu,Vellore,Ambur,159789,9885,1865,1886,121,1694,1828,891,8,1592,4492,"Government Hospital, Nethaji Road, Ambur",432635,8964021470,amburictc@gmail.com,Private,YES,24x7
2208,Bethesda Hospital Blood Bank,Tamil Nadu,Vellore,Ambur,99503,10016,450,803,1510,1283,1474,1731,1824,941,1846,"Mission Compound, Post Box No 56,  Ambur",507079,8520712202,drchaks07@gmail.com,Government,NO,24x7
2209,Government Hospital Blood Bank Arakonam,Tamil Nadu,Vellore,Arakonam,74826,8249,551,1605,875,1439,1361,1133,132,1153,430,"Arakonam, Vellore",308482,6859950416,,Charity,NO,24x7
2210,Government Hospital Blood Bank,Tamil Nadu,Vellore,Gudiyatham,76458,7230,468,1795,398,1002,587,345,638,1997,4658,"Government Hospital, Gudiyatham",352825,8518350906,ghdudiyatham@gmail.com,Government,NO,24x7
2211,Government Head Quarters Hospital Blood Bank,Tamil Nadu,Vellore,Tirupattur,203118,8649,458,1124,1742,397,1700,465,920,1843,488,"Government Hospital, Railway Station Road, Achamangalam, Tirupattur",257833,7901415426,ghthirupathur@gmail.com,Government,YES,24x7
2212,Government Hospital Blood Bank,Tamil Nadu,Vellore,Vaniyambadi,160722,6403,340,808,1382,786,172,633,682,1600,3402,"Government Hospital, Vaniyambadi",310569,6517585434,ghvaniyambadi@gmail.com,Government,YES,24x7
2213,CMC Hospital Blood Bank,Tamil Nadu,Vellore,Vellore,112711,6961,1755,471,940,382,756,225,805,1627,4347,"IDA Scudder Road, Vellore, Tamil Nadu ",481966,9456912090,clinpath@cmcvellore.ac.in,Charity,YES,12x7
2214,Masonic Blood Bank,Tamil Nadu,Vellore,Vellore,165231,9950,1559,1167,12,1604,424,1499,1882,1803,2705,"W/BRO V Surendranath Reddy Memorial Trust ,No. 5/2 New Katpadi Road, Opposite to Hotal River view, Vellore",502643,9914069564,masonicbloodbank@gmail.com,Charity,NO,24x7
2215,Sri Narayani Hospital and Research Centre Blood Bank,Tamil Nadu,Vellore,Vellore,237384,7518,1069,731,1867,424,1593,431,1317,86,3821,"Sripuram, Thirumalaikodi, Vellore, Tamil Nadu ",345541,7602631730,,Private,YES,24x7
2216,Government Head Quarters Hospital Blood Bank,Tamil Nadu,Vellore,Walajapet,204125,8834,1495,1841,1263,1203,920,703,1091,318,526,"Government Head Quarters Hospital, Walaja",386580,9581990758,tnhspwalaja@gmail.com ,Government,YES,24x7
2217,Government Head Quarters Hospital Blood Bank,Tamil Nadu,Villupuram,Kallakurichi,194798,7704,167,1780,1578,229,1727,54,663,1506,4345,"Government Hospital, Kachirapalayam Road, Kallakurichi",376428,9479157584,kallakurichibs59@yahoo.com,Government,NO,24x7
2218,Melmaruvathur Adiparasakthi Institute of Medical Sciences and Research Blood Bank,Tamil Nadu,Villupuram,Melmaruvathur,27249,5583,540,98,155,1892,885,1235,535,243,3495,"A unit of Adiparasuthi Charitable Medical Eductional Cultural Trust, Melmaruvathur, Kancheepuram",279741,8759584600,,Private,NO,24x7
2219,Government Hospital Blood Bank,Tamil Nadu,Villupuram,Tindivanam,13687,7539,190,270,771,1971,746,1532,748,1311,473,"Government Hospital, Hospital Road, Dindivanam
",277562,9079903933,bloodbanktindivanam@gmail.com,Charity,YES,24x7
2220,St Joseph Hospital Blood Bank,Tamil Nadu,Villupuram,Tindivanam,57312,9198,1249,1318,1118,1126,861,1662,692,1172,1303,"Police line, Jayapuram, Tindivanam 
",487012,9985664501,clunyhospital@gmail.com,Government,YES,24x7
2221,Government Hospital Blood Bank,Tamil Nadu,Villupuram,Ulundupettai,165667,8713,867,1027,1426,954,1577,913,283,1666,2039,"Government Hospital, Ulundurpettai",483066,6663718967,,Charity,YES,12x7
2222,Balaji KMR Charitable Trust Blood Bank,Tamil Nadu,Villupuram,Villupuram,144623,7142,512,1636,1379,1702,322,526,301,764,1007,"27/B5, Trichy Trunk Road",221791,8185444545,,Private,YES,24x7
2223,Government Villupuram Medical College and Hospital Blood Bank,Tamil Nadu,Villupuram,Villupuram,235978,7976,405,1656,821,199,1461,298,1515,1621,1552,"Government  Villupuram Medical College and Hospital, Mundiyambakkam, Villupuram",390233,6718401261,villupurambs19@yahoo.co.in,Government,NO,24x7
2224,GN Blood Bank,Tamil Nadu,Villupuram,Villupuram,106395,10785,776,634,1115,1987,638,1891,1797,1947,4177," Run by GG Educational and Charitable Trust, 7-C, Chairman Chidambaram Street, Villupuram",394951,8539581543,gnbloodbank@gmail.com,Charity,NO,24x7
2225,Government Hospital Blood Bank,Tamil Nadu,Virudhunagar,Aruppukottai,169616,6669,391,1834,403,991,311,254,1786,699,4531,"Pandalkudi Road, Near Vellai Kottai, Aruppukottai
",333479,8221491131,,Government,NO,24x7
2226,Government Hospital Blood Bank,Tamil Nadu,Virudhunagar,Rajapalayam,29716,11345,1851,1299,865,895,1929,1863,1747,896,2852,Government Hospital,444139,6944351123,rjpmghbb@gmail.com,Government,YES,24x7
2227,Sai Blood Bank and Clinical Laboratory,Tamil Nadu,Virudhunagar,Rajapalayam,250958,5093,561,362,381,173,786,695,945,1190,1184,"No, 114 Chidambaranar Street, Sankaran Koil Road",285486,8382430736,sairjpm@gmail.com,Government,YES,24x7
2228,Sri PAC Ramasamy Raja Rotary Blood Bank (Run by Rajapalayam rotary),Tamil Nadu,Virudhunagar,Rajapalayam,241887,8582,573,1633,1941,1961,922,786,54,712,2656,"Old No :1069, New No : 170, Madurai to Tenkasi Road",267941,6563282366,,Charity,YES,24x7
2229,Government Hospital Blood Bank,Tamil Nadu,Virudhunagar,Sivakasi,132079,8768,1953,1082,1269,107,546,1261,724,1826,3191,"Government Hospital, Parasakthi colony, Near Sivakasi railway station, Shield Road",317440,7167126504,,Charity,NO,12x7
2230,Sri Annai Blood Bank,Tamil Nadu,Virudhunagar,Sivakasi,230453,9616,1665,494,1247,1671,1880,5,753,1901,374,"Run by Nestle Foundation Trust, S.No. 49/8B 49/8C ward E Block No. 6., Door No. 56 J2 Chairman A. Shanmuga Nadar Road",301897,8123677936,,Private,YES,24x7
2231,Virudhunagar Hindu Nadar V Dhanasamy Parimala Devi Medical Trust Blood Bank,Tamil Nadu,Virudhunagar,Virudhunagar,230412,9427,660,1788,1532,1334,684,727,1069,1633,3871,"No, 38 North Car Street",385232,9276659376,N/A,Government,YES,24x7
2232,Government Head Quarters Hospital Blood Bank,Tamil Nadu,Virudhunagar,Virudhunagar,24609,9413,957,1592,1926,1167,762,35,1044,1930,4955,"Government Head Quarters Hospital, Ramamoorthy Road, Virudhunagar",403185,7809041879,vnrghbb@gmail.com,Government,NO,24x7
2233,Rajiv Gandhi Institute of Medical Sciences Blood Bank,Telangana,Adilabad,Adilabad,195675,8864,1043,1714,1820,89,1138,496,1561,1003,2382,"Teachers Colony, Near State Bank of Hyderabad, Ground Floor, IP Block, Govt. District Head Quarters Hopsital Premises",358037,9979785341,"surya111199@yahoo.com, bbrimsadb@gmail.com",Private,NO,24x7
2234,Sri Lakshmi Blood bank,Telangana,Adilabad,Adilabad,241199,7854,1863,1547,1502,311,1476,713,420,22,649,"D.No.4-5-29/5, Sri Sai Maternity Hospital, Near Rly. Gate, Bhokthapur",318770,9584264751,prakash_gangishetty@yahoo.com,Charity,YES,24x7
2235,Indian Red Cross Society Blood Bank,Telangana,Adilabad,Mancherial,199170,4250,540,100,54,1084,929,694,43,806,1405," Ground Floor, Area Hospital, I.B Chaurastha",331762,7151505222,ircsbbmncl@yahoo.com,Government,YES,24x7
2236,Singareni Collieries Co. Ltd Blood bank,Telangana,Adilabad,Mandamarri,16435,7432,405,888,900,1485,1727,630,881,516,2055,"Sector-1, Area Hospital, Ramakrishnapur, Mandamarri (M), Bellampalli",327612,7944633941,med_srp@scclmines.com,Charity,YES,12x7
2237,Indian Red Cross Society Blood Bank,Telangana,Adilabad,Nirmal,194835,10013,1408,1610,764,1604,1236,1707,636,1048,2082,"Area Hospital, Gajulpet Road
near A1 Function Hall",314068,6244675204,bloodbanknirmal@gmail.com,Private,YES,24x7
2238,The Singareni Collieries Co. Ltd,Telangana,Adilabad,R.K puram,41780,7761,966,1225,779,852,105,167,1673,1994,2840,"Area Hospital Blood Bank, Ramakrishnapuram",325784,8988401907,,Government,NO,24x7
2239,Prime Hospital Blood Bank,Telangana,Hyderabad,Ameerpet,236215,8299,244,1427,248,1172,1073,1165,1558,1412,1724,"Plot No.4, Behind Mythrivanam Building, Ameerpet",234060,6971878478,bloodbank.primehospital@gmail.com,Charity,NO,24x7
2240,Image Hospital Blood Bank ,Telangana,Hyderabad,Ameerpet,172611,8640,1631,956,1424,1388,1116,1510,227,388,1468,"A Division of Image Healthcare Limited,1st Floor, Image House, 8-3-903/F/12&1, Ameerpet",312028,8424538992,,Government,NO,24x7
2241,Challa Hospital Blood Bank (A Multi Speciality Hospital),Telangana,Hyderabad,Ameerpet,87805,4073,579,1834,438,332,107,233,395,155,2985,"D.No. 7-1-71/A/1, 1st Floor, Dharam Karam Road, Ameerpet",306843,8242731122,challahosp.bloodbank@gmail.com,Government,YES,24x7
2242,Aarohi Blood Bank,Telangana,Hyderabad,Banjara Hills,116448,5899,1597,205,297,1107,230,85,826,1552,279,"No.6-3-182/1 to 3, 3rd Floor, 
Lake View Palace, 
Road No.1, Banjara Hills
",368929,8803047071,aarohibloodbank@gmail.com,Government,YES,24x7
2243,Institute of Transfusion Medicine and Research,Telangana,Hyderabad,Banjara Hills,233369,8805,1709,1011,1520,803,293,822,1977,670,3974,"Road.No.1, Banjara Hills",438997,7216915556,info@itmrbloodbank.org,Charity,YES,24x7
2244,NTR Trust Blood Bank,Telangana,Hyderabad,Banjara Hills,97077,7232,1480,917,1735,443,326,307,47,1977,4966,"D.No. 8-2-269/H/191/A/1, NTR Trust Bhavan, Road No. 2, Banjara Hills
",361885,7042618027,"admin@ntrtrust.org	",Charity,NO,12x7
2245,Care Hospital Blood Bank,Telangana,Hyderabad,Banjara Hills,58222,8133,1468,729,1131,131,438,1733,1794,709,222,"1st Floor, Road No.1, Banjara Hills",487980,7570174326,cbeveryone@carehospitals.com,Private,YES,24x7
2246, Star Hospitals Blood Bank,Telangana,Hyderabad,Banjara Hills,227429,6376,201,254,284,137,568,1989,1140,1803,622," A unit of Unimed Healthcare Private Limited, 6th floor,8-2-596/ Road No : 10, Banjara Hills",270384,8874461904,bloodbank@starhospitals.in,Government,YES,24x7
2247,Basavatarakam Indo-American Cancer Hospital and Research Institute Blood Bank,Telangana,Hyderabad,Banjara Hills,178651,8609,529,3,822,1739,1456,1954,1036,1070,2243,"Block.No. III, Cellar Portion,Road No.14, Banjara Hills",302378,7516524162,,Government,NO,24x7
2248,Mythri Charitable Trust Blood Bank and Transfusion Centre,Telangana,Hyderabad,Barkatpura,212360,10229,1772,1105,1481,609,1186,900,1271,1905,4725,"3-4-808 1st Floor, Barkatpura, Bs C C Shroff Hospital, Barkatpura, Hyderabad, Telangana
",313114,8591900569,my3.trustbloodbank@gmail.com,Private,NO,24x7
2249,Sanjeevini Blood Bank,Telangana,Hyderabad,Bhagyanagar,163052,9887,1723,734,106,1842,542,1779,1873,1288,740,"Sanjeevini Non-Governmental Organisation, Niveditha Orthopaedic Center, H.No.1-1-79/A, RTC Cross Road, Bhagyanagar, Hyderabad",208318,7102068737,sanjeevini_bloodbank@yahoo.com,Charity,YES,24x7
2250,Sai Vani Super Speciality Hospital Blood Bank ,Telangana,Hyderabad,Domalguda,215575,6917,1718,167,316,1153,1819,19,603,1122,2803,"A Unit of Viswa Health Institute Private Limited, D.No.1-2-365/36/6&7, 6th Floor, Ramakrishna Math Road, Domalguda, Hyderabad",202420,9088708237,,Government,YES,24x7
2251,The Military Hospital Blood Bank,Telangana,Hyderabad,Golconda,56784,3353,388,176,330,297,561,1250,339,12,4932,"Military Hospital Premises, Golconda",464142,9610693311,,Charity,YES,12x7
2252,Rudhira Voluntary Blood Bank,Telangana,Hyderabad,Himayathnagar,74897,7882,1271,1160,340,871,275,1383,734,1848,1950," H.No.3-6-10/A,1st floor, Anasuya Commercial Complex, Liberty Road, Himayathnagar",405184,6629069786,rudhiravoluntarybloodbank@gmail.com,Private,YES,24x7
2253,Satya Nursing Home Blood Bank,Telangana,Hyderabad,Himayatnagar,164490,9249,1232,1952,1096,1967,1842,383,553,224,2113,"D.No. 3-6-426, First Floor, Street No. 4, Himayatnagar, Hyderabad, Hyderabad District, Telangana
",434529,6409859114,satyakidney@rediffmail.com,Government,NO,24x7
2254,Nizams Institute of Medical Sciences Blood Bank,Telangana,Hyderabad,Hyderabad,142658,7840,661,827,680,950,1046,1387,1589,700,1881,"Accident and Emergency Block, 2nd Floor, Road.No.1, Banjara Hills",361270,9197546448,"nimsdtm@gmail.com,doctormaheshgoud@gmail.com",Charity,NO,24x7
2255,The Osmania General Hospital Blood Bank,Telangana,Hyderabad,Hyderabad,153138,7464,1177,781,877,812,438,1406,994,979,3625," Osmania General Hospital Premises, Hyderabad",211599,9571519011,bloodbank.ogh@gmail.com,Government,NO,24x7
2256,MNJ  Institute of Oncology and Regional Cancer Centre Blood Bank,Telangana,Hyderabad,Hyderabad,228849,7286,1938,324,1627,83,1387,119,1524,284,3864,"Ground Floor, Lakdikapool, Red Hills
",458868,8374397348,mnjiorcc@yahoo.comdirmnjiorcc@yahoo.com,Government,YES,24x7
2257,General Chest Hospital,Telangana,Hyderabad,Hyderabad,39628,6738,1883,1589,1416,302,377,598,79,494,803,"Blood Bank Medical Officer,  Blood Bank, General and Chest Hospital, Irrumnuma, Hyderabad",464799,6956730928,,Government,YES,24x7
2258,Lions Club of Hyderabad(East) Bhanji Kheraj Blood Bank,Telangana,Hyderabad,Hyderabad,145398,5610,1158,67,1961,425,571,66,1286,76,3170,"Feroz Gandhi Park,  Bank Street, Koti, Hyderabad",212352,6675016893,lionsbhanjikherajbloodbank@gmail.com,Charity,YES,24x7
2259,Blood Bank Thelasemia and Sickle Cell,Telangana,Hyderabad,Hyderabad,176661,8973,1487,255,1633,1566,290,1801,1099,842,2079,"Blood Bank Medical Officer, Blood Bank Thelasemia and Sick Cell, Hyderabad",442406,8593774316,"tscsap@gmail.com, tscsbb@gmail.com.",Charity,NO,12x7
2260,Andhra Mahila Sabha Durgabhai Deshmukh Hospital & Blood Bank,Telangana,Hyderabad,Hyderabad,187250,10657,1350,790,885,937,1838,1845,1516,1496,235,"Osmania University Road, Ram Nagar Gundu, Adikmet, Hyderabad, Telangana 
",346915,9537833468,ddhbloodbank@gmail.com,Private,YES,24x7
2261,Share Medical Care (Mediciti Hospital) Blood Bank,Telangana,Hyderabad,Hyderabad,15009,7036,352,763,1102,405,1502,288,1650,974,2695,"D.No. 5-9-22/B/103, Flat No.103, First Floor, My Home Sarovar Complex, Secretariat Road",448114,7801841519,info@medicitihospitals.com,Government,YES,24x7
2262,Mahavir Hospital and Research Centre Blood Bank,Telangana,Hyderabad,Hyderabad,61664,8965,1406,306,981,194,1954,1778,969,1377,4015,"D.No. 10-1-1, Ground Floor, Bhagwan Mahavir Marg, A.C. Guards, Masab Tank",301322,9901202525,,Government,NO,24x7
2263,Aditya Hospital Blood Bank,Telangana,Hyderabad,Hyderabad,214423,8567,528,1920,1309,1693,14,1947,1105,51,1428,"4-3-154/3, Beside Pragati College, Hanuman Tekdi, Abids, Hyderabad.
",217010,9569334887,adityahospitalbloodbank2010@gmail.com,Private,NO,24x7
2264,Himabindhu Multispeciality Hospital Blood Bank,Telangana,Hyderabad,Hyderabad,225050,7914,1043,888,1122,951,380,1777,1732,21,4218,"H.No. 17-1-383/1/1, 1st Floor, Vinay Nagar, Sagar Road, Santhosh Nagar",268803,9740897366,himabindubloodbank@gmail.com,Charity,YES,24x7
2265,Genetic Products Charitable Association Blood Bank,Telangana,Hyderabad,Hyderabad,63725,4966,1607,957,47,189,278,36,1522,330,2169,"D.No. 6-3-663/915, G-Block, Ground Floor, Kanthi Shikara Complex, Punjagutta",502773,7573531925,,Government,YES,24x7
2266,Thalassemia and Sickle Cell Society Vuppala Venkaiah Memorial Blood Bank,Telangana,Hyderabad,Hyderabad,156676,9014,58,234,1975,1858,1309,675,1980,925,4887,"D.No.22-8-496 to 501, 1st and 2nd floor, Chatta Bazar X Road, Near City Civil Courts, Purana Haveli, Hyderabad
",351729,8624923431,tscsbb@gmail.com,Charity,YES,12x7
2267,NEW LIFE EDUCATIONAL SOCIETY BLOOD BANK ,Telangana,Hyderabad,HYDERABAD,167963,7992,1915,1094,290,1326,561,1007,214,1585,590,"22-1-1038,1st FLOOR,ABID ALI KHAN LIONS EYE HOSPITAL,DARULSHIFA, Hyderabad, TELANGANA",415760,8596490816,newlifeeducationalsocietybloodbank@gmail.com,Private,YES,24x7
2268,Apollo Hospital Blood Bank,Telangana,Hyderabad,Hyderabad,231554,7906,733,117,1783,102,1621,1149,1768,633,4011,"Apollo hospital, Ground floor, Jubilee hills, Hyderabad
",219117,6533281888,NA,Government,NO,24x7
2269,Employees State Insurance Corporation Medical College Hospital Blood Bank,Telangana,Hyderabad,Hyderabad,53985,7904,164,222,1970,1114,101,1385,1890,1058,1639,"Second Floor, Radiology Block, Sanath nagar, Hyderabad",323011,9878990491,esicmcbloodbank@gmail.com,Charity,NO,24x7
2270,Venus Hospital Blood Bank,Telangana,Hyderabad,Hyderabad,46342,7866,170,1742,763,647,1320,551,1030,1643,1095,"H.No.16-2-661/EFGH, Judges Colony, Malakpet, Hyderabad",228987,9072657382,,Government,NO,24x7
2271,Yashoda Super Speciality Hospitals Blood Bank,Telangana,Hyderabad,Hyderabad,251032,10544,633,1720,1561,1639,195,1148,1652,1996,200,"D.No. 6-3-903/A/4/F-3, 2nd floor, Shirdi Apartments,
Somajiguda",294594,8608534991,bloodbank_smj@yahoomail.com,Government,YES,24x7
2272,Apollo Hospital Enterprises Ltd,Telangana,Hyderabad,Hyderguda,178108,6814,1324,1177,1446,824,1205,663,60,115,1437,"D.No.3/5/836 to 838, main road, hyderguda, hyderabad.
",328936,6916886744,hydergudaapollobloodbank@gmail.com,Government,YES,24x7
2273,Lions Club Matadin Goel Blood Bank,Telangana,Hyderabad,Hymayathnagar,253426,7990,1009,889,1295,721,1616,1323,295,842,3178,"Blood Bank Medical Officer,  Lions Club Matadin Goel Blood Bank, Himayatnagar, Hyderabad,",355687,8818914551,,Charity,YES,24x7
2274,Chiranjeevi Blood Bank,Telangana,Hyderabad,Jublee Hills,200116,6654,440,125,898,1422,933,841,709,1286,4459,"Road No.1, Jubliee Hills checkpost",407716,8719809707,admin.ccfonline@gmail.com,Charity,NO,12x7
2275,Owaisi Medical and Research Centre,Telangana,Hyderabad,Kanchanbagh,27922,6767,623,642,600,185,260,1364,1994,1099,2077," Nawab Lutfud Dowli Palace,  Kanchanbagh, Zafargadh,Santoshnagar,Hyderabad
",238964,9980562862,NA,Private,YES,24x7
2276,"Apollo Hospital Enterprises Ltd, Apollo DRDO Hospital Blood Bank",Telangana,Hyderabad,Kanchanbagh,76596,8663,1610,1506,45,1326,1810,740,1526,100,3804,"D.No.18-14, Ground Floor, DMRL X Roads, Kanchanbagh, Hyderabad",424553,8832668115,,Government,YES,24x7
2277,Kamineni Health Services Pvt.Ltd. Blood Bank,Telangana,Hyderabad,Kingkoti,154554,10211,1613,659,1829,136,1666,1817,690,1801,581,"D.No. 4-1-1227, Cellar Portion, Boggulakunta, Kingkoti, Hyderguda, Hyderabad District, Telangana
",231247,7164045401,bloodbank.kk@kaminenihospitals.com,Government,NO,24x7
2278,The Government  Maternity Hospital,Telangana,Hyderabad,Koti,171833,4121,289,847,1128,91,339,1111,123,193,675,"Blood bank,  Sultan Bazar, Koti, Hyderabad",482630,7585426578,nandagopalgollapuda@yahoo.com,Private,NO,24x7
2279,Global Hospital Blood Bank,Telangana,Hyderabad,Lakdikapool,41640,5952,343,806,514,897,711,1534,1009,138,4390,"D.No.6-1-1070/1 to 4, Lakdikapool",287784,8962072175,NA,Charity,YES,24x7
2280,Sri Balaji Blood Bank (A Unit of Sri Balaji Educational Society),Telangana,Hyderabad,Malakpet,60203,7244,1477,224,78,876,1891,863,618,1217,4952,"Cellar Portion, 16-8-923, Nalgonda X Road, Malakpet, Hyderabad",416693,9550000002,sribalajibloodbank2009@gmail.com,Government,YES,24x7
2281,Vivekananda Environmental International Society Social Service Blood Bank,Telangana,Hyderabad,Mehdipatnam,108200,10982,1668,1565,1529,1133,1450,1723,1204,710,4970,"12-2-790/53/1, Ground and First Floor, Ayodhyanagar, Mehdipatnam",486186,7814872017,,Charity,YES,12x7
2282,Premier Hospital Blood Bank,Telangana,Hyderabad,Mehdipatnam,167827,8784,967,1383,1378,1061,601,325,1639,1430,4856,"12-2-718, Nanal Nagar X Roads, Mehdipatnam, Hyderabad",267732,9268008278,nooravenu@gmail.com,Private,YES,24x7
2283,Jaya Diagnostic Research Centre Medwin Hospital Blood Bank,Telangana,Hyderabad,Nampally,103809,4749,595,284,587,1128,724,426,836,169,840,"6th Floor, 100, Raghava Ratna Towers, D.No. 5-8-316 to 322, Chiragali Lane, Nampally",419529,7265828961,,Government,NO,24x7
2284,Care Hospital Blood Bank (A Unit of Quality Care India Limited),Telangana,Hyderabad,Nampally,252408,8531,1772,811,401,1481,1395,906,1761,4,661,"Third Floor, 5-4-199, 3rd Floor, J.N. Road, Nampally",453515,9858794380,,Charity,NO,24x7
2285,Institute of Preventive Medicine,Telangana,Hyderabad,Narayana guda,41655,5061,1240,928,452,1964,41,166,171,99,2088,"Public Health Laboratories and Food (Health) Administration, Narayanaguda, Hyderabad",244988,7725046054,ipmbbank@gmail.com ,Government,NO,24x7
2286,M G M H BLOOD BANK (Government Modern Maternity Hospital),Telangana,Hyderabad,Petlaburj,160702,8097,239,1532,125,1406,1014,1922,976,883,3948,"Government Modern Maternity Hospital, Opp City College, Petlaburz, Hyderabad
",444333,7837085397,"mgmhpetlaburz@gmail.com, mgmhbloodbank@gmail.com",Government,YES,24x7
2287,Rakshita Voluntary Blood Bank,Telangana,Hyderabad,Putlibowli,76207,5663,238,722,1166,181,580,781,1522,473,2347," H.No.5-1-931, First Floor, Jambagh, Putlibowli",279486,6589124758,rakshitavoluntarybloodbank79@gmail.com,Government,YES,24x7
2288,The Govt. Niloufer Hospital Blood Bank,Telangana,Hyderabad,Red Hills,219192,8893,852,943,1726,1131,955,896,1570,820,2656,"Premises of Government Niloufer Hospital, Red Hills, Nampally
",501877,7970179387,bloodbankniloufer@gmail.com,Charity,YES,24x7
2289,"Health, Agriculture, Rural Development Society (HARD)  Blood Bank",Telangana,Hyderabad,Red Hills,231132,6364,99,957,1861,983,1033,1046,171,214,320,"No.11-5-263/3, Red Hills, Hyderabad",325072,9700604799,hardsbloodbank@gmail.com,Charity,NO,12x7
2290,The ESI Hospital Blood Bank,Telangana,Hyderabad,Sanathnagar,258872,9916,1646,1571,1308,1787,1801,448,601,754,4121," ESI Hospital premises, Ground Floor, Sanathnagar",269975,9507889275,"esibb038@gmail.com,musthafasd@yahoo.com",Private,YES,24x7
2291,St. Theresa&#39;s Hospital Blood Bank,Telangana,Hyderabad,Sanathnagar,134751,7646,265,1747,29,1410,835,169,1791,1400,3738,"Erragadda, Sanath Nagar, Hyderabad",308738,7346719013,sttheresasbloodbank@gmail.com,Government,YES,24x7
2292,Gandhi Hospital Blood Bank,Telangana,Hyderabad,Secunderabad,14888,7279,793,999,771,823,1911,706,464,812,3861,"1st Floor, A block, Musheerabad, Secunderabad, Telangana
",298600,6253274533,gandhihospitalbloodbank@yahoo.com,Government,NO,24x7
2293,Lions Club of Secunderabad Twin Cities,Telangana,Hyderabad,Secunderabad,24150,8573,651,1328,473,154,1820,946,1475,1726,2942,"2nd Floor, Varalaxmi Complex, Opposite Stay Inn Hotel, James Street, M.G.Road, Secunderabad",339837,7267711045,lionsclubsecbadbloodbank@gmail.com,Private,NO,24x7
